Centre,County,PASS - Initial Test,FAIL - Initial Test,Pass Retest,Fail Retest,Total Passes,Total Fails,Total Retests,Total Tests
Abbeyfeale,Limerick,17507,15247,14172,1512,31679,16759,15684,48438
Arklow,Wicklow,27553,30302,26032,2886,53585,33188,28918,86773
Athlone,Westmeath,17910,19286,17905,1722,35815,21008,19627,56823
Ballina,Mayo,16833,19076,17591,1326,34424,20402,18917,54826
Ballinasloe,Galway,15539,13889,13047,1072,28586,14961,14119,43547
Cahir,Tipperary,30799,31418,28220,2572,59019,33990,30792,93009
Cahirciveen,Kerry,3770,3611,3303,161,7073,3772,3464,10845
Carlow,Carlow,26353,32719,28965,3051,55318,35770,32016,91088
Carndonagh,Donegal,7516,7270,6990,668,14506,7938,7658,22444
Carrick-on-Shannon,Leitrim,11977,14285,13105,1206,25082,15491,14311,40573
Castlerea,Roscommon,13754,16463,14755,1381,28509,17844,16136,46353
Cavan,Cavan,13989,18284,17160,2038,31149,20322,19198,51471
Charleville,Cork,17490,18160,16527,1461,34017,19621,17988,53638
Clifden,Galway,3470,5756,5224,571,8694,6327,5795,15021
Blarney,Cork,42961,48475,41525,4415,84486,52890,45940,137376
Little Island,Cork,76456,69635,67185,6210,143641,75845,73395,219486
Deansgrange,Dublin,109258,89718,86997,8086,196255,97804,95083,294059
Derrybeg,Donegal,5114,6681,6322,447,11436,7128,6769,18564
Donegal,Donegal,11567,11211,10368,1171,21935,12382,11539,34317
Drogheda,Louth,38520,36615,32569,3352,71089,39967,35921,111056
Dundalk,Louth,21115,24981,22591,2708,43706,27689,25299,71395
Ennis,Clare,30538,35148,32101,3386,62639,38534,35487,101173
Enniscorthy,Wexford,34876,39897,36105,3507,70981,43404,39612,114385
Fonthill,Dublin,85556,106173,89312,10368,174868,116541,99680,291409
Galway,Galway,55578,65285,59848,6007,115426,71292,65855,186718
Greenhills,Dublin,66110,72265,70398,7839,136508,80104,78237,216612
Kells,Kilkenny,31734,36246,31546,3541,63280,39787,35087,103067
Kilkenny,Kilkenny,32119,25415,24356,1764,56475,27179,26120,83654
Killarney,Kerry,22208,17707,17053,1084,39261,18791,18137,58052
Letterkenny,Donegal,20684,24791,22975,2309,43659,27100,25284,70759
Limerick,Limerick,51351,56110,53520,6004,104871,62114,59524,166985
Longford,Longford,12546,17242,15370,1902,27916,19144,17272,47060
Macroom,Cork,17782,16072,14611,1061,32393,17133,15672,49526
Monaghan,Monaghan,11097,17707,15921,2080,27018,19787,18001,46805
Mullingar,Westmeath,18476,22301,20191,1986,38667,24287,22177,62954
Naas,Kildare,45907,54897,46304,4761,92211,59658,51065,151869
Nenagh,Tipperary,25283,26660,23801,2212,49084,28872,26013,77956
Northpoint 1 ,Dublin,60679,70547,65094,7840,125773,78387,72934,204160
Northpoint 2 ,Dublin,88878,102022,90722,9449,179600,111471,100171,291071
Portlaoise,Laois,28169,23009,20837,1666,49006,24675,22503,73681
Skibbereen,Cork,15880,17466,16202,1154,32082,18620,17356,50702
Sligo,Sligo,19004,22188,20562,1737,39566,23925,22299,63491
Tralee,Kerry,26234,21449,19941,1705,46175,23154,21646,69329
Tullamore,Offaly,23797,21420,19802,1649,43599,23069,21451,66668
Waterford,Waterford,41193,39782,34922,3418,76115,43200,38340,119315
Westport,Mayo,21822,22839,20894,1597,42716,24436,22491,67152
Youghal,Cork,16127,17082,14869,1322,30996,18404,16191,49400
