Country,ISO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,AT,552,523,531,455,430,479,432,414,409,416
Belgium,BE,841,862,770,764,745,762,670,609,604,620
Bulgaria,BG,776,658,605,601,655,708,708,682,611,628
Croatia,HR,426,418,393,368,308,348,307,331,317,297
Cyprus,CY,60,71,51,44,45,57,46,53,49,52
The Czech Republic,CZ,802,773,742,654,688,737,611,577,658,617
Denmark,DK,255,220,167,191,183,178,211,183,175,199
Estonia,EE,79,101,87,81,78,67,71,48,67,52
Finland,FI,272,292,255,258,229,270,258,238,239,209
France,FR,3992,3963,3653,3268,3384,3461,3477,3448,3248,3244
Germany,DE,3651,4009,3601,3340,3368,3459,3206,3177,3275,3059
Greece,EL,1258,1141,988,879,795,793,824,731,700,699
Hungary,HU,740,638,605,591,626,644,565,624,633,602
Ireland,IE,212,186,163,188,192,162,182,156,140,141
Italy,IT,4114,3860,3753,3401,3381,3428,3283,3378,3334,3130
Latvia,LV,218,179,177,179,212,188,158,136,148,132
Lithuania,LT,299,297,302,258,267,242,192,192,173,184
Luxembourg,LU,32,33,34,45,35,36,32,25,36,22
Malta,MT,15,17,9,18,10,11,22,19,18,16
The Netherlands,NL,640,661,650,570,570,620,629,613,678,661
Poland,PL,3907,4189,3571,3357,3202,2938,3026,2831,2862,2909
Portugal,PT,937,891,718,637,638,593,563,602,675,614
Romania,RO,2377,2018,2042,1861,1818,1893,1913,1951,1867,1864
Slovakia,SK,345,324,296,223,259,274,242,250,229,245
Slovenia,SI,138,141,130,125,108,120,130,104,91,102
Spain,ES,2478,2060,1903,1680,1688,1689,1810,1830,1806,1724
Sweden,SE,266,319,285,260,270,259,270,253,324,221
United Kingdom,UK,1905,1960,1802,1769,1854,1804,1860,1856,1839,1926
Israel,IL,352,341,263,277,279,322,335,321,276,323
Norway,NO,210,168,145,187,147,117,135,106,108,108
Serbia,RS,660,731,688,650,536,599,607,579,548,534
Switzerland,CH,327,320,339,269,243,253,216,230,233,187
