,merchant,first_6_digits,payment_ref,amount_eur,card_network,card_type,timestamp,refused_by_bank,bank_country_id,user_id,user_country_id,is_fraud
0,Shop8,96543.0,78089c3946037ca9,0.0,SchemeF,DEBIT,1458169972,0,0.0,2673932631.0,0.0,0
1,Shop8,579100.0,62c49a618760d829,0.0,SchemeD,DEBIT,1458401237,0,1.0,2684545860.0,1.0,0
2,Shop2,535041.0,75517f4497a164e1,6.0,SchemeF,CREDIT,1458509094,0,2.0,2238808460.0,2.0,0
3,Shop2,314986.0,aeecc3a05e7f472c,23.38,SchemeB,DEBIT,1460494815,0,6.0,2104261218.0,3.0,0
4,Shop2,893427.0,3de199afd69c4f31,64.0,SchemeI,CREDIT,1460444513,0,6.0,1188327797.0,3.0,0
5,Shop2,636420.0,de37ef13d0434bd8,9.79,SchemeB,DEFFERED_DEBIT,1458063520,1,6.0,2127859280.0,3.0,0
6,Shop3,597316.0,fa2a97d79246bcce,3.5,SchemeF,DEBIT,1461796416,0,8.0,2587504047.0,8.0,0
7,Shop2,413006.0,9aec85d480d1773c,7.71,SchemeB,DEBIT,1458089753,0,6.0,2575398641.0,8.0,0
8,Shop2,595452.0,a2cadfde94d8d74d,7.6,SchemeF,DEBIT,1461706126,0,5.0,2777549398.0,6.0,0
9,Shop2,177060.0,fb17c9019fbaa4ce,6.1,SchemeF,PREPAID,1457280062,0,5.0,2645771195.0,6.0,0
10,Shop2,604103.0,2a2eadbdbef7377b,22.2,SchemeF,DEBIT,1460297204,1,5.0,2187643985.0,6.0,0
11,Shop2,828112.0,a34b95bcb4b90487,22.55,SchemeF,DEBIT,1457436352,0,5.0,1542750229.0,6.0,0
12,Shop2,191105.0,f581cebb1cadfd00,7.05,SchemeF,DEBIT,1461197591,0,5.0,2776722697.0,6.0,0
13,Shop8,971958.0,465ccfa0157f1323,0.0,SchemeD,CREDIT,1459208223,0,10.0,2712571765.0,6.0,0
14,Shop2,56630.0,556ec26178f869f3,14.94,SchemeD,CREDIT,1461079583,0,10.0,849908163.0,6.0,0
15,Shop8,876706.0,4b1fb4f472aacbaf,0.0,SchemeF,CREDIT,1457465223,0,10.0,942296006.0,6.0,0
16,Shop2,234422.0,891a717ff33294d8,6.95,SchemeF,CREDIT,1461661967,0,10.0,2125291379.0,6.0,0
17,Shop6,644221.0,55556097791e50fc,4.5701,SchemeD,PREPAID,1459969461,0,10.0,2650926496.0,6.0,0
18,Shop2,841718.0,8a9f538c215ab0a7,1.0,SchemeD,PREPAID,1457579221,1,10.0,2656838089.0,6.0,0
19,Shop2,56630.0,fea7444e95f684dc,12.15,SchemeD,CREDIT,1461503473,0,10.0,849908163.0,6.0,0
20,Shop2,48275.0,53c70b8a2163abc2,45.0,SchemeF,CREDIT,1457710393,0,10.0,957530348.0,6.0,0
21,Shop2,648297.0,5f88f3735a62644b,6.6,SchemeF,CREDIT,1459861305,0,10.0,746926687.0,6.0,0
22,Shop6,828424.0,4475b39c0d1c9add,18.4448,SchemeF,CREDIT,1457999230,1,10.0,2670774053.0,6.0,0
23,Shop2,950821.0,5c26717a2e0de0b6,7.35,SchemeF,CREDIT,1457469271,0,10.0,709966982.0,6.0,0
24,Shop2,876706.0,474e5a1a8c304963,8.82,SchemeF,CREDIT,1460999405,0,10.0,2466619870.0,6.0,0
25,Shop2,876706.0,67b941f4a8c2a541,23.3,SchemeF,CREDIT,1461051707,0,10.0,2778679448.0,6.0,0
26,Shop6,644221.0,01fe981aa03c882d,12.2076,SchemeD,PREPAID,1457451966,0,10.0,2650926496.0,6.0,0
27,Shop2,152988.0,304e4a37f78bb78e,7.2,SchemeD,CREDIT,1460793314,0,10.0,2282722120.0,6.0,0
28,Shop8,152988.0,693361875d5067b5,0.0,SchemeD,CREDIT,1457993788,0,10.0,2670617023.0,6.0,0
29,Shop6,325339.0,14da294bb282ecfa,8.0804,SchemeF,CREDIT,1460495693,0,10.0,1024656721.0,6.0,0
30,Shop8,644678.0,d657a4f8f4d2913e,0.0,SchemeF,CREDIT,1458831531,1,10.0,826309390.0,6.0,0
31,Shop8,405702.0,1dc8f8848f5463dd,0.0,SchemeF,CREDIT,1459611013,1,10.0,1017890662.0,6.0,0
32,Shop2,196888.0,64c5a9e514167c1c,35.0,SchemeD,CREDIT,1457389201,0,10.0,1490436842.0,6.0,0
33,Shop2,91596.0,f894078d79b49505,6.2,SchemeD,PREPAID,1457390758,0,10.0,774861165.0,6.0,0
34,Shop2,644305.0,db65a27946e8775b,12.6,SchemeD,PREPAID,1458178869,0,10.0,1485295855.0,6.0,0
35,Shop2,953331.0,26de67f3324bca89,9.5,SchemeD,CREDIT,1461702691,1,10.0,757111532.0,6.0,0
36,Shop6,44979.0,4a6138cc76cf0fba,7.2439,SchemeI,CREDIT,1460883364,0,10.0,1609190276.0,6.0,0
37,Shop2,107183.0,8a3fc5dba4e5cf7a,38.05,SchemeD,PREPAID,1456947220,0,10.0,2627608142.0,6.0,0
38,Shop8,715890.0,04ab4299563e9497,0.0,SchemeD,CREDIT,1456905077,0,10.0,2614496539.0,6.0,0
39,Shop2,234422.0,13505612572d0835,7.45,SchemeF,CREDIT,1461925041,0,10.0,2125291379.0,6.0,0
40,Shop2,56630.0,722c7d971467e0b8,12.5,SchemeD,CREDIT,1461079475,0,10.0,849908163.0,6.0,0
41,Shop8,841718.0,b98076b5b466ae2a,0.0,SchemeD,PREPAID,1461699311,0,10.0,2801311797.0,6.0,0
42,Shop2,953331.0,2343f5bce42d20f3,1.0,SchemeD,CREDIT,1458849294,0,10.0,2699579370.0,6.0,0
43,Shop8,306435.0,79e8f539bbb1d314,0.0,SchemeF,CREDIT,1459972732,0,10.0,2740589068.0,6.0,0
44,Shop8,451443.0,96805df2006c28eb,0.0,SchemeD,DEBIT,1458237365,1,11.0,2609904866.0,6.0,0
45,Shop8,393913.0,5698792c1c2298e6,0.0,SchemeD,DEBIT,1460883596,0,11.0,2772817863.0,6.0,0
46,Shop2,853035.0,c301882614817902,44.15,SchemeD,DEBIT,1461253261,1,11.0,2772817863.0,6.0,0
47,Shop2,958191.0,53b6935e26166483,58.5,SchemeD,PREPAID,1459613570,0,24.0,1706715375.0,6.0,0
48,Shop2,554648.0,9f1afbf3c2900023,40.0,SchemeI,CREDIT,1460205389,0,24.0,1573771352.0,6.0,0
49,Shop2,286957.0,4bf83ac01c2602c5,14.55,SchemeD,CREDIT,1461064112,0,24.0,2574434565.0,6.0,0
50,Shop2,339769.0,964d66860dd760bb,13.45,SchemeDA,CREDIT,1456867740,0,24.0,2286002660.0,6.0,0
51,Shop8,197152.0,43c24c3d7c6c4ed4,0.0,SchemeD,PREPAID,1460442273,0,24.0,2756722328.0,6.0,0
52,Shop2,133209.0,7a75acef49c4fef0,1.0,SchemeI,CREDIT,1458165201,1,24.0,2186067328.0,6.0,0
53,Shop2,437218.0,7c969c031c416353,6.59,SchemeF,CREDIT,1459576373,0,24.0,1522623932.0,6.0,0
54,Shop2,141007.0,113e3c0bf9e50cfa,3.9,SchemeD,CREDIT,1457028363,0,24.0,2637830285.0,6.0,0
55,Shop8,328046.0,f4e8dd6ecdcc22b4,0.0,SchemeD,PREPAID,1459454499,1,24.0,,6.0,0
56,Shop2,965922.0,acf49c68e5ffa560,1.5,SchemeDA,PREPAID,1461924733,0,24.0,2809887757.0,6.0,0
57,Shop2,105107.0,4b29b6ceb4fbce6a,6.0,SchemeF,DEFFERED_DEBIT,1459707456,0,24.0,973998166.0,6.0,0
58,Shop8,149116.0,204d278b62391f3e,0.0,SchemeD,CREDIT,1458758026,0,24.0,1861196780.0,6.0,0
59,Shop2,90806.0,caed9d641858ca90,9.9,SchemeD,CREDIT,1461854501,0,24.0,2807499945.0,6.0,0
60,Shop8,416766.0,ed5bd16a3fec43a1,0.0,SchemeD,PREPAID,1459063151,0,24.0,2689905482.0,6.0,0
61,Shop2,726157.0,4ecfe17868255934,4.8,SchemeD,CREDIT,1460775604,0,24.0,2769368001.0,6.0,0
62,Shop2,127181.0,e1348ec55ace807b,14.69,SchemeD,PREPAID,1459752759,0,24.0,1114438295.0,6.0,0
63,Shop2,149116.0,47f531d5df04abb1,7.74,SchemeD,CREDIT,1457132665,0,24.0,781922180.0,6.0,0
