Date,Postal_Code,County,Price,Not Full Market Price,VAT Exclusive,Description of Property
04/01/2019,Dublin 1,Dublin,215000,No,No,Second-Hand Dwelling house /Apartment
10/01/2019,Dublin 1,Dublin,240000,No,No,Second-Hand Dwelling house /Apartment
11/01/2019,Dublin 1,Dublin,571600,No,No,Second-Hand Dwelling house /Apartment
11/01/2019,Dublin 1,Dublin,280000,No,No,Second-Hand Dwelling house /Apartment
11/01/2019,Dublin 1,Dublin,346000,No,No,Second-Hand Dwelling house /Apartment
11/01/2019,Dublin 1,Dublin,526000,No,No,Second-Hand Dwelling house /Apartment
11/01/2019,Dublin 1,Dublin,232000,No,No,Second-Hand Dwelling house /Apartment
17/01/2019,Dublin 1,Dublin,210000,No,No,Second-Hand Dwelling house /Apartment
18/01/2019,Dublin 1,Dublin,373000,No,No,Second-Hand Dwelling house /Apartment
22/01/2019,Dublin 1,Dublin,240000,No,No,Second-Hand Dwelling house /Apartment
25/01/2019,Dublin 1,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment
25/01/2019,Dublin 1,Dublin,374000,No,No,Second-Hand Dwelling house /Apartment
25/01/2019,Dublin 1,Dublin,374000,No,No,Second-Hand Dwelling house /Apartment
30/01/2019,Dublin 1,Dublin,22008000,No,No,Second-Hand Dwelling house /Apartment
01/02/2019,Dublin 1,Dublin,355000,No,No,Second-Hand Dwelling house /Apartment
01/02/2019,Dublin 1,Dublin,299559,No,Yes,New Dwelling house /Apartment
04/02/2019,Dublin 1,Dublin,390000,No,No,Second-Hand Dwelling house /Apartment
08/02/2019,Dublin 1,Dublin,290000,No,No,Second-Hand Dwelling house /Apartment
08/02/2019,Dublin 1,Dublin,255000,No,No,Second-Hand Dwelling house /Apartment
08/02/2019,Dublin 1,Dublin,257500,No,No,Second-Hand Dwelling house /Apartment
13/02/2019,Dublin 1,Dublin,326000,Yes,No,Second-Hand Dwelling house /Apartment
13/02/2019,Dublin 1,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment
14/02/2019,Dublin 1,Dublin,203000,No,No,Second-Hand Dwelling house /Apartment
15/02/2019,Dublin 1,Dublin,233000,No,No,Second-Hand Dwelling house /Apartment
15/02/2019,Dublin 1,Dublin,238000,No,No,Second-Hand Dwelling house /Apartment
19/02/2019,Dublin 1,Dublin,270000,No,No,Second-Hand Dwelling house /Apartment
20/02/2019,Dublin 1,Dublin,375000,No,No,Second-Hand Dwelling house /Apartment
20/02/2019,Dublin 1,Dublin,280000,No,No,Second-Hand Dwelling house /Apartment
21/02/2019,Dublin 1,Dublin,236000,No,No,Second-Hand Dwelling house /Apartment
21/02/2019,Dublin 1,Dublin,220000,No,No,Second-Hand Dwelling house /Apartment
22/02/2019,Dublin 1,Dublin,250000,No,No,Second-Hand Dwelling house /Apartment
27/02/2019,Dublin 1,Dublin,230000,No,No,Second-Hand Dwelling house /Apartment
27/02/2019,Dublin 1,Dublin,425000,No,No,Second-Hand Dwelling house /Apartment
28/02/2019,Dublin 1,Dublin,205000,No,No,Second-Hand Dwelling house /Apartment
28/02/2019,Dublin 1,Dublin,487200,No,No,Second-Hand Dwelling house /Apartment
01/03/2019,Dublin 1,Dublin,287500,Yes,No,Second-Hand Dwelling house /Apartment
01/03/2019,Dublin 1,Dublin,287500,Yes,No,Second-Hand Dwelling house /Apartment
01/03/2019,Dublin 1,Dublin,290000,No,No,Second-Hand Dwelling house /Apartment
05/03/2019,Dublin 1,Dublin,320000,No,No,Second-Hand Dwelling house /Apartment
05/03/2019,Dublin 1,Dublin,230000,No,No,Second-Hand Dwelling house /Apartment
06/03/2019,Dublin 1,Dublin,250000,No,No,Second-Hand Dwelling house /Apartment
06/03/2019,Dublin 1,Dublin,250000,No,No,Second-Hand Dwelling house /Apartment
06/03/2019,Dublin 1,Dublin,700000,No,No,Second-Hand Dwelling house /Apartment
07/03/2019,Dublin 1,Dublin,325000,No,No,Second-Hand Dwelling house /Apartment
08/03/2019,Dublin 1,Dublin,500000,No,No,Second-Hand Dwelling house /Apartment
11/03/2019,Dublin 1,Dublin,342000,No,No,Second-Hand Dwelling house /Apartment
12/03/2019,Dublin 1,Dublin,238000,No,No,Second-Hand Dwelling house /Apartment
12/03/2019,Dublin 1,Dublin,175000,No,No,Second-Hand Dwelling house /Apartment
13/03/2019,Dublin 1,Dublin,245000,No,No,Second-Hand Dwelling house /Apartment
19/03/2019,Dublin 1,Dublin,410000,No,No,Second-Hand Dwelling house /Apartment
20/03/2019,Dublin 1,Dublin,415000,No,No,Second-Hand Dwelling house /Apartment
20/03/2019,Dublin 1,Dublin,245000,No,No,Second-Hand Dwelling house /Apartment
22/03/2019,Dublin 1,Dublin,215000,No,No,Second-Hand Dwelling house /Apartment
26/03/2019,Dublin 1,Dublin,205000,No,No,Second-Hand Dwelling house /Apartment
28/03/2019,Dublin 1,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment
29/03/2019,Dublin 1,Dublin,285000,No,No,Second-Hand Dwelling house /Apartment
29/03/2019,Dublin 1,Dublin,2407000,No,No,Second-Hand Dwelling house /Apartment
29/03/2019,Dublin 1,Dublin,266000,No,No,Second-Hand Dwelling house /Apartment
01/04/2019,Dublin 1,Dublin,253000,No,No,Second-Hand Dwelling house /Apartment
01/04/2019,Dublin 1,Dublin,302500,No,No,Second-Hand Dwelling house /Apartment
02/04/2019,Dublin 1,Dublin,270000,No,No,Second-Hand Dwelling house /Apartment
02/04/2019,Dublin 1,Dublin,120000,No,No,Second-Hand Dwelling house /Apartment
08/04/2019,Dublin 1,Dublin,4064100,No,No,Second-Hand Dwelling house /Apartment
08/04/2019,Dublin 1,Dublin,435000,No,No,Second-Hand Dwelling house /Apartment
09/04/2019,Dublin 1,Dublin,395000,No,No,Second-Hand Dwelling house /Apartment
11/04/2019,Dublin 1,Dublin,210085,No,No,Second-Hand Dwelling house /Apartment
11/04/2019,Dublin 1,Dublin,233427,No,No,Second-Hand Dwelling house /Apartment
11/04/2019,Dublin 1,Dublin,250000,No,No,Second-Hand Dwelling house /Apartment
11/04/2019,Dublin 1,Dublin,312793,No,No,Second-Hand Dwelling house /Apartment
12/04/2019,Dublin 1,Dublin,585000,No,No,Second-Hand Dwelling house /Apartment
12/04/2019,Dublin 1,Dublin,600000,No,No,Second-Hand Dwelling house /Apartment
12/04/2019,Dublin 1,Dublin,265000,No,No,Second-Hand Dwelling house /Apartment
12/04/2019,Dublin 1,Dublin,150000,No,No,Second-Hand Dwelling house /Apartment
12/04/2019,Dublin 1,Dublin,267000,No,No,Second-Hand Dwelling house /Apartment
12/04/2019,Dublin 1,Dublin,500000,No,No,Second-Hand Dwelling house /Apartment
15/04/2019,Dublin 1,Dublin,283000,No,No,Second-Hand Dwelling house /Apartment
15/04/2019,Dublin 1,Dublin,840000,No,No,Second-Hand Dwelling house /Apartment
16/04/2019,Dublin 1,Dublin,140000,No,No,Second-Hand Dwelling house /Apartment
16/04/2019,Dublin 1,Dublin,325000,No,No,Second-Hand Dwelling house /Apartment
17/04/2019,Dublin 1,Dublin,282000,No,No,Second-Hand Dwelling house /Apartment
