_id,Date,Address,Postal_Code,County,Price,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
2025,2019-02-21T00:00:00,"APT 8, THE GARDEN HOUSE, WATERFALL AVE",Dublin 3,Dublin,"€6,750,000.00",No,No,Second-Hand Dwelling house /Apartment,
4513,2019-04-16T00:00:00,"49 AILESBURY RD, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€6,750,000.00",No,No,Second-Hand Dwelling house /Apartment,
9575,2019-08-01T00:00:00,"Block 1 and Block 2, Belleville, Castleknock",Dublin 7,Dublin,"€5,791,178.00",No,No,Second-Hand Dwelling house /Apartment,
5013,2019-04-29T00:00:00,"THE GREY GABLES, 34A GILFORD ROAD, SANDYMOUNT",,Dublin,"€5,425,000.00",No,No,Second-Hand Dwelling house /Apartment,
4182,2019-04-10T00:00:00,"29 TEMPLE RD, DARTRY, DUBLIN 6",Dublin 6,Dublin,"€4,800,000.00",No,No,Second-Hand Dwelling house /Apartment,
5872,2019-05-17T00:00:00,"6 CLYDE RD, BALLBRIDGE, DUBLIN CITY",Dublin 4,Dublin,"€4,164,000.00",No,No,Second-Hand Dwelling house /Apartment,
234,2019-01-11T00:00:00,"THE MONASTERY, MOUNT ARGUS, HAROLDS CROSS",,Dublin,"€4,100,000.00",No,No,Second-Hand Dwelling house /Apartment,
4083,2019-04-08T00:00:00,"5 SPENCER HOUSE, CUSTOM HOUSE SQ, MAYOR ST LOWER DUBLIN 1",Dublin 1,Dublin,"€4,064,100.00",No,No,Second-Hand Dwelling house /Apartment,
9579,2019-08-01T00:00:00,"THE OAKS, PORTERSTOWN RD, CLONSILLA DUBLIN 15",Dublin 15,Dublin,"€3,946,000.00",No,No,Second-Hand Dwelling house /Apartment,
4421,2019-04-15T00:00:00,"1 CASTLE COURT, 5-6 CASTLE STREET, DUBLIN 2",Dublin 8,Dublin,"€3,700,000.00",No,No,Second-Hand Dwelling house /Apartment,
2437,2019-03-01T00:00:00,"17 TEMPLE GARDENS, DUBLIN 6, DUBLIN",Dublin 6,Dublin,"€3,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
6360,2019-05-28T00:00:00,"GAISFORD TOWER APT, HOWTH CASTLE, DUBLIN 13",Dublin 13,Dublin,"€3,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
9576,2019-08-01T00:00:00,"Coopers Court, Bond Street",,Dublin,"€3,307,000.00",No,No,Second-Hand Dwelling house /Apartment,
8781,2019-07-15T00:00:00,"APT 1, 22-23 DAWSON STREET, DUBLIN 2",Dublin 2,Dublin,"€3,230,000.00",No,No,Second-Hand Dwelling house /Apartment,
7101,2019-06-13T00:00:00,"ANNAGHKEEN, LEOPARDSTOWN RD, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€3,200,000.00",No,No,Second-Hand Dwelling house /Apartment,
8269,2019-07-04T00:00:00,"7 LANDORE HALL, 7 LANDORE, ORWELL RD DUBLIN 7",Dublin 14,Dublin,"€3,200,000.00",No,No,Second-Hand Dwelling house /Apartment,
9374,2019-07-30T00:00:00,"1-10 Ardsolus Orchard, Ardsolus, Old Naas Road",,Dublin,"€3,105,726.87",No,Yes,New Dwelling house /Apartment,
251,2019-01-14T00:00:00,"2 CLYDE RD, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€3,100,000.00",No,No,Second-Hand Dwelling house /Apartment,
7261,2019-06-14T00:00:00,"TURNBERRY, KERRYMOUNT AVE, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€3,100,000.00",No,No,Second-Hand Dwelling house /Apartment,
7704,2019-06-24T00:00:00,"APT 1 EAGLE LODGE, LEINSTER RD, RATHMINES DUBLIN 6",Dublin 6,Dublin,"€3,100,000.00",No,No,Second-Hand Dwelling house /Apartment,
2201,2019-02-25T00:00:00,"EGLINTON HOUSE, 75 EGLINTON RD, DONNYBROOK DUBLIN 4",Dublin 4,Dublin,"€2,960,000.00",No,No,Second-Hand Dwelling house /Apartment,
7654,2019-06-24T00:00:00,"1 IDRONE TERRACE, BLACKROCK, DUBLIN",,Dublin,"€2,950,000.00",No,No,Second-Hand Dwelling house /Apartment,
8045,2019-06-28T00:00:00,"CABRERA, TORQUAY ROAD, FOXROCK",Dublin 18,Dublin,"€2,915,000.00",No,No,Second-Hand Dwelling house /Apartment,
603,2019-01-22T00:00:00,"78 PARK AVE, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€2,900,000.00",No,No,Second-Hand Dwelling house /Apartment,
6816,2019-06-06T00:00:00,"Howth Terrace, 1/2 Church Street, Howth",,Dublin,"€2,895,000.00",No,Yes,New Dwelling house /Apartment,
2102,2019-02-22T00:00:00,"ABINGDON  1A  ST ALBANS PK, BALLS BRIDGE, DUBLIN 4",Dublin 4,Dublin,"€2,850,000.00",No,No,Second-Hand Dwelling house /Apartment,
8161,2019-07-02T00:00:00,"94/95 LOWER MOUNT STREET, DUBLIN 2",Dublin 2,Dublin,"€2,850,000.00",No,No,Second-Hand Dwelling house /Apartment,
2112,2019-02-22T00:00:00,"ULVERTON, ULVERTON RD, DALKEY",,Dublin,"€2,800,000.00",No,No,Second-Hand Dwelling house /Apartment,
3676,2019-03-29T00:00:00,"31 PARK AVE, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€2,700,000.00",No,No,Second-Hand Dwelling house /Apartment,
3423,2019-03-25T00:00:00,"65 MOUNT PROSPECT AVE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€2,675,000.00",No,No,Second-Hand Dwelling house /Apartment,
